net_id,from_id,to_id,value
2005-09-30,CH,IT,436.99
2005-09-30,CH,US,10082.79
2005-09-30,CL,AT,0.07
2005-09-30,CL,AU,0.14
2005-09-30,CL,BE,0.01
2005-09-30,CL,CA,1.32
2005-09-30,CL,CH,0.28
2005-09-30,CL,DE,0.49
2005-09-30,CL,ES,0.4
2005-09-30,CL,FI,0.06
2005-09-30,CL,FR,1.22
2005-09-30,CL,GB,1.48
2005-09-30,CL,GR,0.06
2005-09-30,CL,IN,0.13
2005-09-30,CL,IT,0.16
2005-09-30,CL,JP,0.08
2005-09-30,CL,KR,0.57
2005-09-30,CL,NL,0.02
2005-09-30,CL,SE,0.02
2005-09-30,CL,TR,0.05
2005-09-30,CL,US,9.76
2005-09-30,DE,AT,1450.59
2005-09-30,DE,AU,299.95
2005-09-30,DE,BE,533.23
2005-09-30,DE,CA,240.69
2005-09-30,DE,CH,512.81
2005-09-30,DE,CL,23.6
2005-09-30,DE,ES,1334.9
2005-09-30,DE,FI,161.16
2005-09-30,DE,FR,1737.79
2005-09-30,DE,GB,6765.62
2005-09-30,DE,GR,371.38
2005-09-30,DE,IE,1081.24
2005-09-30,DE,IN,77.24
2005-09-30,DE,IT,1839.73
2005-09-30,DE,JP,914.28
2005-09-30,DE,KR,82.76
2005-09-30,DE,NL,1363.17
2005-09-30,DE,PT,303.34
2005-09-30,DE,SE,275.46
2005-09-30,DE,TR,100.55
2005-09-30,DE,US,5591
2005-09-30,ES,AT,31.84
2005-09-30,ES,AU,17.15
2005-09-30,ES,BE,127.04
2005-09-30,ES,CA,14.35
2005-09-30,ES,CH,35.58
2005-09-30,ES,CL,296.65
2005-09-30,ES,DE,463.8
2005-09-30,ES,FI,18.25
2005-09-30,ES,FR,389.82
2005-09-30,ES,GB,2646.41
2005-09-30,ES,GR,8.08
2005-09-30,ES,IE,91.35
2005-09-30,ES,IN,0.13
2005-09-30,ES,IT,284.02
2005-09-30,ES,JP,7.05
2005-09-30,ES,KR,1.92
2005-09-30,ES,NL,167.98
2005-09-30,ES,PT,498.51
2005-09-30,ES,SE,27.45
2005-09-30,ES,TR,2.64
2005-09-30,ES,US,627.87
2005-09-30,FR,AT,79.14
2005-09-30,FR,AU,281.48
2005-09-30,FR,BE,654.09
2005-09-30,FR,CA,161.41
2005-09-30,FR,CH,403.97
2005-09-30,FR,CL,15.72
2005-09-30,FR,DE,1160.18
2005-09-30,FR,ES,855.3
2005-09-30,FR,FI,40.13
2005-09-30,FR,GB,2241.02
2005-09-30,FR,GR,156.39
2005-09-30,FR,IE,283.62
2005-09-30,FR,IN,50.95
2005-09-30,FR,IT,1265.52
2005-09-30,FR,JP,1164.87
2005-09-30,FR,KR,133.39
2005-09-30,FR,NL,746.49
2005-09-30,FR,PT,141.64
2005-09-30,FR,SE,93.36
2005-09-30,FR,TR,61.49
2005-09-30,FR,US,4267.66
2005-09-30,GB,AT,135.08
2005-09-30,GB,AU,860.63
2005-09-30,GB,BE,578.38
2005-09-30,GB,CA,657.25
2005-09-30,GB,CH,339.68
2005-09-30,GB,CL,18.7
2005-09-30,GB,DE,1823.16
2005-09-30,GB,ES,870.51
2005-09-30,GB,FI,57.68
2005-09-30,GB,FR,1362.05
2005-09-30,GB,GR,84.07
2005-09-30,GB,IE,1091.37
2005-09-30,GB,IN,203.48
2005-09-30,GB,IT,671.51
2005-09-30,GB,JP,626.93
2005-09-30,GB,KR,651.22
2005-09-30,GB,NL,1028.91
2005-09-30,GB,PT,179.37
2005-09-30,GB,SE,173.09
2005-09-30,GB,TR,86.87
2005-09-30,GB,US,9323.26
2005-09-30,GR,AT,12.84
2005-09-30,GR,AU,0.21
2005-09-30,GR,BE,14.66
2005-09-30,GR,CA,4.85
2005-09-30,GR,CH,1.22
2005-09-30,GR,DE,15.03
2005-09-30,GR,ES,4.5
2005-09-30,GR,FI,0.13
2005-09-30,GR,FR,14.38
2005-09-30,GR,GB,42.48
2005-09-30,GR,IE,8.62
2005-09-30,GR,IN,0.05
2005-09-30,GR,IT,20.11
2005-09-30,GR,JP,3.92
2005-09-30,GR,KR,0.22
2005-09-30,GR,NL,6.59
2005-09-30,GR,PT,3.35
2005-09-30,GR,SE,0.46
2005-09-30,GR,TR,3.49
2005-09-30,GR,US,69.72
2005-09-30,IT,AT,40.23
2005-09-30,IT,AU,7.75
2005-09-30,IT,BE,59.62
2005-09-30,IT,CA,7.22
2005-09-30,IT,CH,61.17
2005-09-30,IT,CL,4.76
2005-09-30,IT,DE,373.23
2005-09-30,IT,ES,117.03
2005-09-30,IT,FI,5.12
2005-09-30,IT,FR,213.89
2005-09-30,IT,GB,356.85
2005-09-30,IT,GR,47.25
2005-09-30,IT,IE,131.22
2005-09-30,IT,IN,5.89
2005-09-30,IT,JP,44.03
2005-09-30,IT,KR,8.5
2005-09-30,IT,NL,145.21
2005-09-30,IT,PT,61.03
2005-09-30,IT,SE,12.07
2005-09-30,IT,TR,13.51
