StoreNumber,Quantity,PLU,Id,date
12631,1,221000134,365,2015/3/6
46673,1,212000126,280,2015/3/6
12631,1,111000050,85,2015/3/6
46673,1,311000100,277,2015/3/6
46673,1,111000026,142,2015/3/7
46673,1,321000101,276,2015/3/7
12631,1,121000012,13,2015/3/7
12631,1,311000100,277,2015/3/7
12631,1,111000012,12,2015/3/7
46673,1,111000005,43,2015/3/7
12631,1,212000126,280,2015/3/7
12631,1,111000012,12,2015/3/7
46673,1,111000012,12,2015/3/7
12631,1,221000135,278,2015/3/7
12631,1,111000006,74,2015/3/7
12631,1,221000133,279,2015/3/7
46673,1,221000133,279,2015/3/7
12631,1,121000007,24,2015/3/7
12631,1,311000100,277,2015/3/7
12631,1,221000137,364,2015/3/7
12631,1,111000050,85,2015/3/7
12631,1,111000731,7038,2015/3/7
12631,1,221000133,279,2015/3/7
12631,1,174000062,438,2015/3/7
46673,1,221000133,279,2015/3/7
46673,1,111000002,69,2015/3/7
12631,2,321000101,276,2015/3/7
12631,1,221000133,279,2015/3/7
12631,2,321000101,276,2015/3/7
12631,1,215000145,281,2015/3/7
12631,1,121000002,70,2015/3/7
12631,1,121000003,59,2015/3/7
46673,1,212000126,280,2015/3/7
12631,1,111000021,38,2015/3/7
46673,1,121000001,91,2015/3/7
12631,2,311000100,277,2015/3/7
12631,1,311000100,277,2015/3/7
12631,1,111000010,80,2015/3/7
12631,1,221000133,279,2015/3/7
12631,1,131000256,1229,2015/3/7
